"STATION","NAME","DATE","DAPR","EVAP","MDPR","MNPN","MXPN","PRCP","PSUN","SNOW","SNWD","TAVG","TMAX","TMIN","TOBS","TSUN","WESD","WESF"
"US1MAMD0025","AYER 0.1 SW, MA US","2023-08-27",,,,,,"0.00",,"0.0",,,,,,,,
"US1MAMD0025","AYER 0.1 SW, MA US","2023-08-28",,,,,,"0.00",,,,,,,,,,
"US1MAMD0025","AYER 0.1 SW, MA US","2023-08-29",,,,,,"0.03",,,,,,,,,,
"US1MAMD0025","AYER 0.1 SW, MA US","2023-08-30",,,,,,"0.08",,,,,,,,,,
"US1MAMD0025","AYER 0.1 SW, MA US","2023-08-31",,,,,,"0.72",,,,,,,,,,
"US1MAMD0025","AYER 0.1 SW, MA US","2023-09-01",,,,,,"0.00",,"0.0",,,,,,,,
"US1MAMD0025","AYER 0.1 SW, MA US","2023-09-02",,,,,,"0.00",,"0.0",,,,,,,,
"US1MAMD0025","AYER 0.1 SW, MA US","2023-09-03",,,,,,"0.03",,,,,,,,,,
"US1MAMD0025","AYER 0.1 SW, MA US","2023-09-04",,,,,,"0.00",,"0.0",,,,,,,,
"US1MAMD0025","AYER 0.1 SW, MA US","2023-09-05",,,,,,"0.00",,"0.0",,,,,,,,
"US1MAMD0025","AYER 0.1 SW, MA US","2023-09-06",,,,,,"0.00",,"0.0",,,,,,,,
"US1MAMD0025","AYER 0.1 SW, MA US","2023-09-07",,,,,,"0.00",,"0.0",,,,,,,,
"US1MAMD0025","AYER 0.1 SW, MA US","2023-09-08",,,,,,"0.00",,"0.0",,,,,,,,
"US1MAMD0025","AYER 0.1 SW, MA US","2023-09-09",,,,,,"0.71",,,,,,,,,,
"US1MAMD0025","AYER 0.1 SW, MA US","2023-09-10",,,,,,"0.02",,,,,,,,,,
"US1MAMD0025","AYER 0.1 SW, MA US","2023-09-11",,,,,,"1.65",,,,,,,,,,
"US1MAMD0025","AYER 0.1 SW, MA US","2023-09-12",,,,,,"3.66",,,,,,,,,,
"US1MAMD0025","AYER 0.1 SW, MA US","2023-09-13",,,,,,"0.02",,,,,,,,,,
"US1MAMD0025","AYER 0.1 SW, MA US","2023-09-14",,,,,,"0.64",,,,,,,,,,
"US1MAMD0025","AYER 0.1 SW, MA US","2023-09-15",,,,,,"0.00",,"0.0",,,,,,,,
"US1MAMD0025","AYER 0.1 SW, MA US","2023-09-16",,,,,,"0.00",,"0.0",,,,,,,,
"US1MAMD0025","AYER 0.1 SW, MA US","2023-09-17",,,,,,"0.02",,"0.0",,,,,,,,
"US1MAMD0025","AYER 0.1 SW, MA US","2023-09-18",,,,,,"0.01",,,,,,,,,,
"US1MAMD0025","AYER 0.1 SW, MA US","2023-09-19",,,,,,"1.62",,,,,,,,,,
"US1MAMD0025","AYER 0.1 SW, MA US","2023-09-20",,,,,,"0.00",,"0.0",,,,,,,,
"US1MAMD0025","AYER 0.1 SW, MA US","2023-09-21",,,,,,"0.00",,"0.0",,,,,,,,
"US1MAMD0025","AYER 0.1 SW, MA US","2023-09-22",,,,,,"0.00",,"0.0",,,,,,,,
"US1MAMD0025","AYER 0.1 SW, MA US","2023-09-23",,,,,,"0.00",,"0.0",,,,,,,,
"US1MAMD0025","AYER 0.1 SW, MA US","2023-09-24",,,,,,"0.06",,,,,,,,,,
"US1MAMD0025","AYER 0.1 SW, MA US","2023-09-25",,,,,,"0.42",,,,,,,,,,
"US1MAMD0025","AYER 0.1 SW, MA US","2023-09-26",,,,,,"0.36",,,,,,,,,,
"US1MAMD0025","AYER 0.1 SW, MA US","2023-09-27",,,,,,"0.02",,,,,,,,,,
"US1MAMD0025","AYER 0.1 SW, MA US","2023-09-28",,,,,,"0.00",,"0.0",,,,,,,,
"US1MAMD0025","AYER 0.1 SW, MA US","2023-09-29",,,,,,"0.03",,,,,,,,,,
"US1MAMD0025","AYER 0.1 SW, MA US","2023-09-30",,,,,,"1.81",,,,,,,,,,
"US1MAMD0025","AYER 0.1 SW, MA US","2023-10-01",,,,,,"0.00",,,,,,,,,,
"US1MAMD0025","AYER 0.1 SW, MA US","2023-10-02",,,,,,"0.00",,"0.0",,,,,,,,
"US1MAMD0025","AYER 0.1 SW, MA US","2023-10-03",,,,,,"0.00",,"0.0",,,,,,,,
"US1MAMD0025","AYER 0.1 SW, MA US","2023-10-04",,,,,,"0.00",,"0.0",,,,,,,,
"US1MAMD0025","AYER 0.1 SW, MA US","2023-10-05",,,,,,"0.00",,"0.0",,,,,,,,
"US1MAMD0025","AYER 0.1 SW, MA US","2023-10-06",,,,,,"0.00",,"0.0",,,,,,,,
"US1MAMD0025","AYER 0.1 SW, MA US","2023-10-07",,,,,,"0.11",,,,,,,,,,
"US1MAMD0025","AYER 0.1 SW, MA US","2023-10-08",,,,,,"0.43",,,,,,,,,,
"US1MAMD0025","AYER 0.1 SW, MA US","2023-10-09",,,,,,"0.00",,"0.0",,,,,,,,
"US1MAMD0025","AYER 0.1 SW, MA US","2023-10-10",,,,,,"0.00",,"0.0",,,,,,,,
"US1MAMD0025","AYER 0.1 SW, MA US","2023-10-11",,,,,,"0.00",,,,,,,,,,
"US1MAMD0025","AYER 0.1 SW, MA US","2023-10-12",,,,,,"0.00",,"0.0",,,,,,,,
"US1MAMD0025","AYER 0.1 SW, MA US","2023-10-13",,,,,,"0.00",,"0.0",,,,,,,,
"US1MAMD0025","AYER 0.1 SW, MA US","2023-10-14",,,,,,"0.00",,"0.0",,,,,,,,
"US1MAMD0025","AYER 0.1 SW, MA US","2023-10-15",,,,,,"0.00",,"0.0",,,,,,,,
"US1MAMD0025","AYER 0.1 SW, MA US","2023-10-16",,,,,,"0.06",,,,,,,,,,
"US1MAMD0025","AYER 0.1 SW, MA US","2023-10-17",,,,,,"0.02",,,,,,,,,,
"US1MAMD0025","AYER 0.1 SW, MA US","2023-10-18",,,,,,"0.00",,,,,,,,,,
"US1MAMD0025","AYER 0.1 SW, MA US","2023-10-19",,,,,,"0.00",,,,,,,,,,
"US1MAMD0025","AYER 0.1 SW, MA US","2023-10-20",,,,,,"0.00",,"0.0",,,,,,,,
"US1MAMD0025","AYER 0.1 SW, MA US","2023-10-21",,,,,,"0.17",,,,,,,,,,
"US1MAMD0025","AYER 0.1 SW, MA US","2023-10-22",,,,,,"1.29",,,,,,,,,,
"US1MAMD0025","AYER 0.1 SW, MA US","2023-10-23",,,,,,"0.00",,"0.0",,,,,,,,
"US1MAMD0025","AYER 0.1 SW, MA US","2023-10-24",,,,,,"0.00",,"0.0",,,,,,,,
"US1MAMD0025","AYER 0.1 SW, MA US","2023-10-25",,,,,,"0.00",,"0.0",,,,,,,,
"US1MAMD0025","AYER 0.1 SW, MA US","2023-10-26",,,,,,"0.00",,"0.0",,,,,,,,
"US1MAMD0025","AYER 0.1 SW, MA US","2023-10-27",,,,,,"0.04",,,,,,,,,,
"US1MAMD0025","AYER 0.1 SW, MA US","2023-10-28",,,,,,"0.00",,"0.0",,,,,,,,
"US1MAMD0025","AYER 0.1 SW, MA US","2023-10-29",,,,,,"0.00",,"0.0",,,,,,,,
"US1MAMD0025","AYER 0.1 SW, MA US","2023-10-30",,,,,,"0.44",,,,,,,,,,
"US1MAMD0025","AYER 0.1 SW, MA US","2023-10-31",,,,,,"0.30",,,,,,,,,,
"US1MAMD0025","AYER 0.1 SW, MA US","2023-11-01",,,,,,"0.00",,"0.0",,,,,,,,
"US1MAMD0025","AYER 0.1 SW, MA US","2023-11-02",,,,,,"0.00",,"0.0",,,,,,,,
"US1MAMD0025","AYER 0.1 SW, MA US","2023-11-03",,,,,,"0.00",,"0.0",,,,,,,,
"US1MAMD0025","AYER 0.1 SW, MA US","2023-11-04",,,,,,"0.00",,"0.0",,,,,,,,
"US1MAMD0025","AYER 0.1 SW, MA US","2023-11-05",,,,,,"0.00",,"0.0",,,,,,,,
"US1MAMD0025","AYER 0.1 SW, MA US","2023-11-06",,,,,,"0.00",,"0.0",,,,,,,,
"US1MAMD0025","AYER 0.1 SW, MA US","2023-11-07",,,,,,"0.06",,,,,,,,,,
"US1MAMD0025","AYER 0.1 SW, MA US","2023-11-08",,,,,,"0.00",,"0.0",,,,,,,,
"US1MAMD0025","AYER 0.1 SW, MA US","2023-11-09",,,,,,"0.02",,,,,,,,,,
"US1MAMD0025","AYER 0.1 SW, MA US","2023-11-10",,,,,,"0.10",,,,,,,,,,
"US1MAMD0025","AYER 0.1 SW, MA US","2023-11-11",,,,,,"0.00",,"0.0",,,,,,,,
"US1MAMD0025","AYER 0.1 SW, MA US","2023-11-12",,,,,,"0.00",,"0.0",,,,,,,,
"US1MAMD0025","AYER 0.1 SW, MA US","2023-11-13",,,,,,"0.00",,"0.0",,,,,,,,
"US1MAMD0025","AYER 0.1 SW, MA US","2023-11-14",,,,,,"0.00",,,,,,,,,,
"US1MAMD0025","AYER 0.1 SW, MA US","2023-11-15",,,,,,"0.00",,"0.0",,,,,,,,
"US1MAMD0025","AYER 0.1 SW, MA US","2023-11-16",,,,,,"0.00",,"0.0",,,,,,,,
"US1MAMD0025","AYER 0.1 SW, MA US","2023-11-17",,,,,,"0.00",,"0.0",,,,,,,,
"US1MAMD0025","AYER 0.1 SW, MA US","2023-11-18",,,,,,"0.02",,,,,,,,,,
"US1MAMD0025","AYER 0.1 SW, MA US","2023-11-19",,,,,,"0.03",,,,,,,,,,
"US1MAMD0025","AYER 0.1 SW, MA US","2023-11-20",,,,,,"0.00",,,,,,,,,,
"US1MAMD0025","AYER 0.1 SW, MA US","2023-11-21",,,,,,"0.00",,"0.0",,,,,,,,
"US1MAMD0025","AYER 0.1 SW, MA US","2023-11-22",,,,,,"0.51",,"0.2",,,,,,,,
"US1MAMD0025","AYER 0.1 SW, MA US","2023-11-23",,,,,,"0.51",,,,,,,,,,
"US1MAMD0025","AYER 0.1 SW, MA US","2023-11-24",,,,,,"0.00",,"0.0",,,,,,,,
"US1MAMD0025","AYER 0.1 SW, MA US","2023-11-25",,,,,,"0.00",,"0.0",,,,,,,,
"US1MAMD0025","AYER 0.1 SW, MA US","2023-11-26",,,,,,"0.00",,"0.0",,,,,,,,
"US1MAMD0025","AYER 0.1 SW, MA US","2023-11-27",,,,,,"0.23",,,,,,,,,,
"US1MAMD0025","AYER 0.1 SW, MA US","2023-11-28",,,,,,"0.00",,"0.0",,,,,,,,
"US1MAMD0025","AYER 0.1 SW, MA US","2023-11-29",,,,,,"0.00",,"0.0",,,,,,,,
"US1MAMD0025","AYER 0.1 SW, MA US","2023-11-30",,,,,,"0.00",,"0.0",,,,,,,,
"US1MAMD0025","AYER 0.1 SW, MA US","2023-12-01",,,,,,"0.00",,"0.0",,,,,,,,
"US1MAMD0025","AYER 0.1 SW, MA US","2023-12-02",,,,,,"0.06",,,,,,,,,,
"US1MAMD0025","AYER 0.1 SW, MA US","2023-12-03",,,,,,"0.02",,,,,,,,,,
"US1MAMD0025","AYER 0.1 SW, MA US","2023-12-04",,,,,,"0.62",,,,,,,,,,
"US1MAMD0025","AYER 0.1 SW, MA US","2023-12-05",,,,,,"0.01",,,,,,,,,,
"US1MAMD0025","AYER 0.1 SW, MA US","2023-12-06",,,,,,"0.00",,"0.0",,,,,,,,
"US1MAMD0025","AYER 0.1 SW, MA US","2023-12-07",,,,,,"0.00",,,,,,,,,,
"US1MAMD0025","AYER 0.1 SW, MA US","2023-12-08",,,,,,"0.00",,"0.0",,,,,,,,
"US1MAMD0025","AYER 0.1 SW, MA US","2023-12-09",,,,,,"0.00",,"0.0",,,,,,,,
"US1MAMD0025","AYER 0.1 SW, MA US","2023-12-10",,,,,,"0.00",,,,,,,,,,
"US1MAMD0025","AYER 0.1 SW, MA US","2023-12-11",,,,,,"1.57",,,,,,,,,,
"US1MAMD0025","AYER 0.1 SW, MA US","2023-12-12",,,,,,"0.09",,,,,,,,,,
"US1MAMD0025","AYER 0.1 SW, MA US","2023-12-13",,,,,,"0.00",,"0.0",,,,,,,,
"US1MAMD0025","AYER 0.1 SW, MA US","2023-12-14",,,,,,"0.00",,"0.0",,,,,,,,
"US1MAMD0025","AYER 0.1 SW, MA US","2023-12-15",,,,,,"0.00",,"0.0",,,,,,,,
"US1MAMD0025","AYER 0.1 SW, MA US","2023-12-16",,,,,,"0.00",,"0.0",,,,,,,,
"US1MAMD0025","AYER 0.1 SW, MA US","2023-12-17",,,,,,"0.00",,"0.0",,,,,,,,
"US1MAMD0025","AYER 0.1 SW, MA US","2023-12-18",,,,,,"1.09",,,,,,,,,,
"US1MAMD0025","AYER 0.1 SW, MA US","2023-12-19",,,,,,"1.29",,,,,,,,,,
"US1MAMD0025","AYER 0.1 SW, MA US","2023-12-20",,,,,,"0.00",,"0.0",,,,,,,,
"US1MAMD0025","AYER 0.1 SW, MA US","2023-12-21",,,,,,"0.00",,"0.0",,,,,,,,
"US1MAMD0025","AYER 0.1 SW, MA US","2023-12-22",,,,,,"0.00",,"0.0",,,,,,,,
"US1MAMD0025","AYER 0.1 SW, MA US","2023-12-23",,,,,,"0.00",,"0.0",,,,,,,,
"US1MAMD0025","AYER 0.1 SW, MA US","2023-12-24",,,,,,"0.00",,"0.0",,,,,,,,
"US1MAMD0025","AYER 0.1 SW, MA US","2023-12-25",,,,,,"0.00",,,,,,,,,,
"US1MAMD0025","AYER 0.1 SW, MA US","2023-12-26",,,,,,"0.00",,,,,,,,,,
"US1MAMD0025","AYER 0.1 SW, MA US","2023-12-27",,,,,,"0.08",,,,,,,,,,
"US1MAMD0025","AYER 0.1 SW, MA US","2023-12-28",,,,,,"0.16",,,,,,,,,,
"US1MAMD0025","AYER 0.1 SW, MA US","2023-12-29",,,,,,"0.22",,,,,,,,,,
"US1MAMD0025","AYER 0.1 SW, MA US","2023-12-30",,,,,,"0.08",,,,,,,,,,
"US1MAMD0025","AYER 0.1 SW, MA US","2023-12-31",,,,,,"0.00",,"0.0",,,,,,,,
"US1MAMD0025","AYER 0.1 SW, MA US","2024-01-01",,,,,,"0.00",,"0.0",,,,,,,,
"US1MAMD0025","AYER 0.1 SW, MA US","2024-01-02",,,,,,"0.00",,"0.0",,,,,,,,
"US1MAMD0025","AYER 0.1 SW, MA US","2024-01-03",,,,,,"0.00",,"0.0",,,,,,,,
"US1MAMD0025","AYER 0.1 SW, MA US","2024-01-04",,,,,,"0.00",,"0.0",,,,,,,,
"US1MAMD0025","AYER 0.1 SW, MA US","2024-01-05",,,,,,"0.00",,,,,,,,,,
"US1MAMD0025","AYER 0.1 SW, MA US","2024-01-06",,,,,,"0.00",,"0.0",,,,,,,,
"US1MAMD0025","AYER 0.1 SW, MA US","2024-01-07",,,,,,"0.36",,"5.7",,,,,,,,
"US1MAMD0025","AYER 0.1 SW, MA US","2024-01-08",,,,,,"0.43",,"5.4","10.1",,,,,,,
"US1MAMD0025","AYER 0.1 SW, MA US","2024-01-09",,,,,,"0.00",,"0.0",,,,,,,,
"US1MAMD0025","AYER 0.1 SW, MA US","2024-01-10",,,,,,"1.96",,,,,,,,,,
"US1MAMD0025","AYER 0.1 SW, MA US","2024-01-11",,,,,,"0.02",,,,,,,,,,
"US1MAMD0025","AYER 0.1 SW, MA US","2024-01-12",,,,,,"0.00",,"0.0",,,,,,,,
"US1MAMD0025","AYER 0.1 SW, MA US","2024-01-13",,,,,,"0.46",,,,,,,,,,
"US1MAMD0025","AYER 0.1 SW, MA US","2024-01-14",,,,,,"0.25",,,,,,,,,,
"US1MAMD0025","AYER 0.1 SW, MA US","2024-01-15",,,,,,"0.00",,,,,,,,,,
"US1MAMD0025","AYER 0.1 SW, MA US","2024-01-16",,,,,,"0.05",,"0.3",,,,,,,,
"US1MAMD0025","AYER 0.1 SW, MA US","2024-01-17",,,,,,"0.37",,"3.2",,,,,,,,
"US1MAMD0025","AYER 0.1 SW, MA US","2024-01-18",,,,,,"0.00",,"0.0",,,,,,,,
"US1MAMD0025","AYER 0.1 SW, MA US","2024-01-19",,,,,,"0.00",,"0.0",,,,,,,,
"US1MAMD0025","AYER 0.1 SW, MA US","2024-01-20",,,,,,"0.00",,"0.0",,,,,,,,
"US1MAES0070","NEWBURYPORT 0.6 N, MA US","2023-07-10","   15",,"3.19",,,,,,"0.0",,,,,,"0.0",
"US1MAES0070","NEWBURYPORT 0.6 N, MA US","2023-07-11",,,,,,"0.64",,"0.0",,,,,,,,"0.0"
"US1MAES0070","NEWBURYPORT 0.6 N, MA US","2023-07-12",,,,,,"0.00",,"0.0",,,,,,,,"0.0"
"US1MAES0070","NEWBURYPORT 0.6 N, MA US","2023-07-13",,,,,,"0.00",,"0.0",,,,,,,,"0.0"
"US1MAES0070","NEWBURYPORT 0.6 N, MA US","2023-07-14",,,,,,"0.06",,"0.0",,,,,,,,"0.0"
"US1MAES0070","NEWBURYPORT 0.6 N, MA US","2023-07-15",,,,,,"0.09",,"0.0",,,,,,,,"0.0"
"US1MAES0070","NEWBURYPORT 0.6 N, MA US","2023-07-16",,,,,,"0.23",,"0.0",,,,,,,,"0.0"
"US1MAES0070","NEWBURYPORT 0.6 N, MA US","2023-07-17",,,,,,"1.46",,"0.0",,,,,,,,"0.0"
"US1MAES0070","NEWBURYPORT 0.6 N, MA US","2023-07-18",,,,,,"0.00",,"0.0",,,,,,,,"0.0"
"US1MAES0070","NEWBURYPORT 0.6 N, MA US","2023-07-19",,,,,,"0.34",,"0.0",,,,,,,,"0.0"
"US1MAES0070","NEWBURYPORT 0.6 N, MA US","2023-07-20",,,,,,"0.00",,"0.0",,,,,,,,"0.0"
"US1MAES0070","NEWBURYPORT 0.6 N, MA US","2023-07-21",,,,,,"0.00",,"0.0",,,,,,,,"0.0"
"US1MAES0070","NEWBURYPORT 0.6 N, MA US","2023-07-22",,,,,,"0.94",,"0.0",,,,,,,,"0.0"
"US1MAES0070","NEWBURYPORT 0.6 N, MA US","2023-07-23",,,,,,"0.00",,"0.0",,,,,,,,"0.0"
"US1MAES0070","NEWBURYPORT 0.6 N, MA US","2023-07-24",,,,,,"0.00",,"0.0",,,,,,,,"0.0"
"US1MAES0070","NEWBURYPORT 0.6 N, MA US","2023-07-25",,,,,,"0.27",,"0.0",,,,,,,,"0.0"
"US1MAES0070","NEWBURYPORT 0.6 N, MA US","2023-07-27",,,,,,"0.00",,"0.0",,,,,,,,"0.0"
"US1MAES0070","NEWBURYPORT 0.6 N, MA US","2023-07-28",,,,,,"0.04",,"0.0",,,,,,,,"0.0"
"US1MAES0070","NEWBURYPORT 0.6 N, MA US","2023-07-29",,,,,,"0.00",,"0.0",,,,,,,,"0.0"
"US1MAES0070","NEWBURYPORT 0.6 N, MA US","2023-07-30",,,,,,"0.75",,"0.0",,,,,,,,"0.0"
"US1MAES0070","NEWBURYPORT 0.6 N, MA US","2023-07-31",,,,,,"0.00",,"0.0",,,,,,,,"0.0"
"US1MAES0070","NEWBURYPORT 0.6 N, MA US","2023-08-01",,,,,,"0.00",,"0.0",,,,,,,,"0.0"
"US1MAES0070","NEWBURYPORT 0.6 N, MA US","2023-08-02",,,,,,"0.00",,"0.0",,,,,,,,"0.0"
"US1MAES0070","NEWBURYPORT 0.6 N, MA US","2023-08-03",,,,,,"0.00",,"0.0",,,,,,,,"0.0"
"US1MAES0070","NEWBURYPORT 0.6 N, MA US","2023-08-04",,,,,,"0.08",,"0.0",,,,,,,,"0.0"
"US1MAES0070","NEWBURYPORT 0.6 N, MA US","2023-08-05",,,,,,"0.01",,"0.0",,,,,,,,"0.0"
"US1MAES0070","NEWBURYPORT 0.6 N, MA US","2023-08-06",,,,,,"0.00",,"0.0",,,,,,,,"0.0"
"US1MAES0070","NEWBURYPORT 0.6 N, MA US","2023-08-07",,,,,,"0.00",,"0.0",,,,,,,,"0.0"
"US1MAES0070","NEWBURYPORT 0.6 N, MA US","2023-08-08",,,,,,"0.10",,"0.0",,,,,,,,"0.0"
"US1MAES0070","NEWBURYPORT 0.6 N, MA US","2023-08-11","    3",,"3.54",,,,,,"0.0",,,,,,"0.0",
"US1MAES0070","NEWBURYPORT 0.6 N, MA US","2023-08-12",,,,,,"0.00",,"0.0",,,,,,,,"0.0"
"US1MAES0070","NEWBURYPORT 0.6 N, MA US","2023-08-13",,,,,,"0.01",,"0.0",,,,,,,,"0.0"
"US1MAES0070","NEWBURYPORT 0.6 N, MA US","2023-08-14",,,,,,"0.08",,"0.0",,,,,,,,"0.0"
"US1MAES0070","NEWBURYPORT 0.6 N, MA US","2023-08-15",,,,,,"0.12",,"0.0",,,,,,,,"0.0"
"US1MAES0070","NEWBURYPORT 0.6 N, MA US","2023-08-16",,,,,,"0.67",,"0.0",,,,,,,,"0.0"
"US1MAES0070","NEWBURYPORT 0.6 N, MA US","2023-08-17",,,,,,"0.00",,"0.0",,,,,,,,"0.0"
"US1MAES0070","NEWBURYPORT 0.6 N, MA US","2023-08-18",,,,,,"0.01",,"0.0",,,,,,,,"0.0"
"US1MAES0070","NEWBURYPORT 0.6 N, MA US","2023-08-19",,,,,,"2.49",,"0.0",,,,,,,,"0.0"
"US1MAES0070","NEWBURYPORT 0.6 N, MA US","2023-08-20",,,,,,"0.00",,"0.0",,,,,,,,"0.0"
"US1MAES0070","NEWBURYPORT 0.6 N, MA US","2023-08-21",,,,,,"0.00",,"0.0",,,,,,,,"0.0"
"US1MAES0070","NEWBURYPORT 0.6 N, MA US","2023-08-22",,,,,,"0.00",,"0.0",,,,,,,,"0.0"
"US1MAES0070","NEWBURYPORT 0.6 N, MA US","2023-08-23",,,,,,"0.00",,"0.0",,,,,,,,"0.0"
"US1MAES0070","NEWBURYPORT 0.6 N, MA US","2023-08-24",,,,,,"0.00",,"0.0",,,,,,,,"0.0"
"US1MAES0070","NEWBURYPORT 0.6 N, MA US","2023-08-25",,,,,,"0.49",,"0.0",,,,,,,,"0.0"
"US1MAES0070","NEWBURYPORT 0.6 N, MA US","2023-08-26",,,,,,"0.47",,"0.0",,,,,,,,"0.0"
"US1MAES0070","NEWBURYPORT 0.6 N, MA US","2023-08-27",,,,,,"0.03",,"0.0",,,,,,,,"0.0"
